TimeStamp,Unit,Eta,Alpha,Training_loss,Predict_loss,Epoch,Time(min)
2019-10-30_14-37-05,5,0.01,0.9,0.00015919056216697828,0.00022637981213400254,250000,60
2019-10-30_14-38-19,10,0.01,0.9,3.88486804657168e-05,4.986014579231452e-05,250000,60
2019-10-30_14-40-24,20,0.01,0.9,3.501099841155928e-05,5.246958107410936e-05,250000,60
2019-10-30_14-39-42,15,0.01,0.9,3.949140621844265e-05,5.909200322688239e-05,250000,61
2019-10-30_15-44-29,30,0.01,0.9,4.777091608653887e-05,6.782180445518954e-05,250000,55
2019-10-30_15-44-06,25,0.01,0.9,4.576965314410573e-05,6.273174406603663e-05,250000,56
2019-10-30_15-44-44,35,0.01,0.9,4.763775973858285e-05,6.031847790009736e-05,250000,56
2019-10-30_15-44-56,40,0.01,0.9,4.745638326501684e-05,6.379155519369317e-05,250000,58
2019-10-30_17-36-12,5,0.01,0.8,0.0003496536214566123,0.00045235945184516187,250000,61
2019-10-30_17-36-23,10,0.01,0.8,0.00010548005471519196,0.00013130436236899896,250000,61
2019-10-30_17-36-48,20,0.01,0.8,7.248769261467147e-05,9.902053740837939e-05,250000,61
2019-10-30_17-36-37,15,0.01,0.8,8.443086384090605e-05,0.0001154799236294045,250000,61
2019-10-30_18-45-15,30,0.01,0.8,8.583468363866574e-05,0.00011550496539383118,250000,59
2019-10-30_18-45-23,35,0.01,0.8,8.555153455295052e-05,0.00010531202733649622,250000,59
2019-10-30_18-44-54,25,0.01,0.8,8.242158159509766e-05,0.00011065824720513513,250000,61
2019-10-30_18-45-32,40,0.01,0.8,8.340691363617462e-05,0.00010465331584071518,250000,60
2019-10-30_20-16-33,5,0.01,0.95,6.059496553698168e-05,8.446119227411373e-05,250000,66
2019-10-30_20-17-04,15,0.01,0.95,1.8290952067350294e-05,2.9642740145747966e-05,250000,65
2019-10-30_20-16-54,10,0.01,0.95,1.892101951556831e-05,2.606310269472284e-05,250000,66
2019-10-30_20-17-12,20,0.01,0.95,1.7787184545499444e-05,2.875277259084262e-05,250000,66
2019-10-31_08-38-04,5,0.1,0.95,1.4188242527814014e-05,1.8174706867689242e-05,250000,70
2019-10-31_08-38-14,10,0.1,0.95,1.0933444198940893e-05,1.765401879387853e-05,250000,71
2019-10-31_08-38-22,15,0.1,0.95,8.454693318491788e-06,1.6024070470725888e-05,250000,71
2019-10-31_08-38-31,20,0.1,0.95,7.538147966553245e-06,1.3394379905347607e-05,250000,71
2019-10-31_09-53-47,5,0.5,0.95,1.158914643764607e-05,1.6971923880681445e-05,250000,63
2019-10-31_09-53-55,10,0.5,0.95,6.7392175369500075e-06,1.1432617348997589e-05,250000,63
2019-10-31_09-54-02,15,0.5,0.95,3.068064541410218e-06,7.24250048917232e-06,250000,63
2019-10-31_09-54-12,20,0.5,0.95,2.4372387473869816e-06,6.092252729721329e-06,250000,63
2019-10-31_15-31-53,5,0.8,0.95,8.56762903978947e-06,1.2291256946997318e-05,250000,56
2019-10-31_15-32-02,15,0.8,0.95,2.3761163505344247e-06,5.425122609822962e-06,250000,56
2019-10-31_15-32-13,20,0.8,0.95,1.4801951866693317e-06,4.7200951782428376e-06,250000,57
2019-11-01_09-13-35,5,0.9,0.95,8.395204809911427e-06,9.317612737931361e-06,250000,62
2019-11-01_09-14-35,15,0.9,0.95,2.2737652777642036e-06,2.997035319225233e-06,250000,62
2019-11-01_09-15-10,20,0.9,0.95,1.3650615122424134e-06,2.15908003494558e-06,250000,62
2019-11-01_10-20-27,5,1,0.95,8.252826604729035e-06,1.1911724358542391e-05,250000,61
2019-11-01_10-20-36,10,1,0.95,4.980743715921784e-06,7.537435896338449e-06,250000,61
2019-11-01_10-21-15,15,1,0.95,2.1900137997546123e-06,4.96689210762905e-06,250000,62
2019-11-01_10-21-25,20,1,0.95,1.263488014533596e-06,4.210258684804369e-06,250000,63
2019-11-01_13-56-20,5,1,0.95,2.7569573498349175e-05,3.095997112318614e-05,10000,2
2019-11-01_13-56-28,10,1,0.95,1.3117435182667126e-05,1.8155750816638e-05,10000,2
2019-11-01_13-56-37,15,1,0.95,9.578643676358694e-06,1.750169934999962e-05,10000,2
2019-11-01_13-56-44,20,1,0.95,1.1105406249083056e-05,1.9112986864582115e-05,10000,2
2019-11-01_14-01-55,5,1,0.95,0.00021805088339694022,0.00028264341356024373,1000,0
2019-11-01_14-02-03,10,1,0.95,4.2122927550548393e-05,5.6120821300251445e-05,1000,0
2019-11-01_14-02-16,15,1,0.95,4.606660755528676e-05,6.85430936398474e-05,1000,0
2019-11-01_14-05-10,20,1,0.95,4.032156818291069e-05,5.955120273018282e-05,1000,0
2019-11-01_14-05-26,25,1,0.95,5.207602271991477e-05,7.085418449342559e-05,1000,0
2019-11-03_19-56-31,10,1,0,0.0012837843673911265,0.0013965187922987121,2500,0
2019-11-03_19-58-12,10,1,0,1.8963842032060405e-05,2.6128150335625718e-05,50000,18
